ANO;CODIGO_ESCOLA;CODIGO_INEP;CODIGO_DIRETORIA;NOME_DIRETORIA;NOME_ESCOLA;NOME_MUNICIPIO;ANOS_INICIAIS;ANOS_FINAIS
2024;41671;35041671;10208;LESTE 4;AMADOR ARRUDA MENDES PROF;SAO PAULO;6,12;
2024;41683;35041683;10101;NORTE 1;OTTO DE BARROS VIDAL PROFESSOR;SAO PAULO;4,74;
2024;41695;35041695;10205;LESTE 5;GUILHERME GIORGI COMENDADOR;SAO PAULO;4,04;2,49
2024;41701;35041701;10208;LESTE 4;MARIA LOURDES ROSARIO NEGREIROS PROFA;SAO PAULO;5,84;
2024;41713;35041713;10208;LESTE 4;JOSE DE OLIVEIRA ORLANDI;SAO PAULO;;2,70
2024;41725;35041725;10208;LESTE 4;MARIA FERRAZ DE CAMPOS PROFA;SAO PAULO;4,08;2,59
2024;41737;35041737;10317;SUL 1;FLAVIO JOSE OSORIO NEGRINI PROFESSOR;SAO PAULO;;2,30
2024;41749;35041749;10314;SUL 2;ALBERTO BADRA DOUTOR;SAO PAULO;4,59;
2024;41750;35041750;10317;SUL 1;DUGLAS TEIXEIRA MONTEIRO PROFESSOR;SAO PAULO;4,14;2,05
2024;41762;35041762;10318;SUL 3;MARIA JUVENAL HOMEM DE MELLO PROFA;SAO PAULO;;1,52
2024;41774;35041774;10318;SUL 3;EMILIO WARWICK KERR PASTOR;SAO PAULO;;3,01
2024;41786;35041786;10314;SUL 2;JOSEPHINA CINTRA DAMIAO PROFESSORA;SAO PAULO;3,23;2,33
2024;41798;35041798;10318;SUL 3;ERODICE PONTES DE QUEIROZ REV;SAO PAULO;3,67;1,52
2024;41804;35041804;10318;SUL 3;SAMUEL WAINER;SAO PAULO;;2,23
2024;41836;35041836;10401;CAIEIRAS;ISAURA VALENTINI HANSER PROFA;CAIEIRAS;3,59;2,25
2024;41853;35041853;10401;CAIEIRAS;AFONSO MORENO;FRANCISCO MORATO;;2,05
2024;41889;35041889;10403;GUARULHOS NORTE;CARLOS GIULIETTO;GUARULHOS;5,05;
2024;41890;35041890;10403;GUARULHOS NORTE;GLAUBER ROCHA;GUARULHOS;5,70;
2024;41907;35041907;20207;JACAREI;BENEDITO MANOEL DOS SANTOS;ARUJA;;3,57
2024;41919;35041919;10402;GUARULHOS SUL;SEBASTIAO WALTER FUSCO;GUARULHOS;;2,23
2024;41920;35041920;10402;GUARULHOS SUL;LICINIO CARPINELLI PROFESSOR;GUARULHOS;;2,02
2024;41932;35041932;10403;GUARULHOS NORTE;ARY JORGE ZEITUNE PROFESSOR;GUARULHOS;;2,55
2024;41944;35041944;10501;MOGI DAS CRUZES;ENEDINA GOMES DE FREITAS PROFESSORA;MOGI DAS CRUZES;;3,21
2024;41956;35041956;10502;SUZANO;ANTONIO RODRIGUES DE ALMEIDA;SUZANO;5,55;4,01
2024;41968;35041968;10602;MAUA;OLINDA FURTADO DE ALBUQUERQUE CAVALCANTE PROFESSORA;MAUA;4,98;
2024;41973;35041973;10602;MAUA;MARLENE CAMARGO RIBEIRO PROFESSORA;MAUA;;3,55
2024;41981;35041981;10602;MAUA;FRANCISCO LOURENCO DE MELO PROFESSOR;RIO GRANDE DA SERRA;5,30;3,50
2024;41993;35041993;10602;MAUA;EDMUNDO LUIZ DE NOBREGA TEIXEIRA;RIO GRANDE DA SERRA;4,42;3,57
2024;42006;35042006;10603;SANTO ANDRE;JUAREZ TAVORA MARECHAL;SANTO ANDRE;;4,22
2024;42031;35042031;10606;SAO BERNARDO DO CAMPO;SANTA DALMOLIN DEMARCHI;SAO BERNARDO DO CAMPO;;3,32
2024;42043;35042043;10606;SAO BERNARDO DO CAMPO;PALMIRA GRASSIOTTO FERREIRA DA SILVA PROF;SAO BERNARDO DO CAMPO;;2,93
2024;42055;35042055;10606;SAO BERNARDO DO CAMPO;BRAZILIA TONDI DE LIMA;SAO BERNARDO DO CAMPO;;2,70
2024;42067;35042067;10706;TABOAO DA SERRA;MARIA CATHARINA COMINO;TABOAO DA SERRA;;2,24
2024;42092;35042092;20208;CARAGUATATUBA;MARIA GEMMA DE SOUZA OLIVEIRA PROFESSORA;ILHABELA;;
2024;42110;35042110;20102;SANTOS;ARTHUR DE CAMPOS GONCALVES PROFESSOR;GUARUJA;4,44;
2024;42122;35042122;20102;SANTOS;LUCAS NOGUEIRA GARCEZ PROFESSOR;GUARUJA;;2,31
2024;42134;35042134;20102;SANTOS;IDALINO PINEZ PROFESSOR;GUARUJA;4,09;
2024;42146;35042146;20102;SANTOS;WALDEMAR DA SILVA RIGOTTO PROFESSOR;GUARUJA;;2,22
2024;42161;35042161;20103;SAO VICENTE;CARMEN MIRANDA;PERUIBE;;
2024;42171;35042171;20103;SAO VICENTE;VILMA CATHARINA MOSCA LEONE PROFESSORA;PRAIA GRANDE;;
2024;42195;35042195;20103;SAO VICENTE;BALNEARIO DAS PALMEIRAS;PRAIA GRANDE;;2,82
2024;42250;35042250;20204;PINDAMONHANGABA;JOSE PINTO MARCONDES PESTANA PROFESSOR;PINDAMONHANGABA;;
